id,officer_id,job_title,badge_number
,#NYPD_719,Police Officer,2003
,#NYPD_720,Police Officer,24252
,#NYPD_721,Police Officer,
,#NYPD_722,Sergeant,1749
,#NYPD_723,Police Officer,24945
,#NYPD_724,Police Officer,6338
,#NYPD_725,Detective Third Grade,10014
,#NYPD_725,Detective Third Grade,3811
,#NYPD_726,Police Officer,12984
,#NYPD_727,Police Officer,10724
,#NYPD_728,Detective First Grade,7384
,#NYPD_729,Sergeant,5393
,#NYPD_730,Detective Second Grade,633
,#NYPD_731,Police Officer,6215
,#NYPD_732,Police Officer,18386
,#NYPD_733,Detective Third Grade,11502
,#NYPD_733,Detective Third Grade,4706
