id,officer_id,salary,overtime_pay,year,is_fiscal_year
,32406,77118.28,16744.68,2018,true
,32407,88301.73,,2018,true
,32408,78630.41,5497.77,2018,true
,32409,75606.16,1647.2,2018,true
,32410,89496.91,26476.94,2018,true
,32416,78630.41,5522.41,2018,true
,32417,78630.41,5521.32,2018,true
,32418,65348.49,830.4,2018,true
,32419,77118.28,,2018,true
,32420,86054.72,12091.91,2018,true
,32421,75606.16,,2018,true
,32422,78630.41,,2018,true
,32423,78630.41,2541.76,2018,true
,32424,110463.48,1661.26,2018,true
,32425,97894.58,8390.17,2018,true
,32426,75606.16,452.08,2018,true
,32428,114882.02,7748.87,2018,true
,32429,77118.28,1152.87,2018,true
,32430,75606.16,5848.79,2018,true
,32431,78630.41,,2018,true
,32433,77118.28,3328.71,2018,true
,32435,78630.41,,2018,true
,32436,62835.09,2440.27,2018,true
,32437,62835.09,,2018,true
,32438,97894.58,3329.25,2018,true
,32439,90033.13,3693.15,2018,true
,32440,90033.13,1783.21,2018,true
,32441,77118.28,981.04,2018,true
,32443,53416.67,,2018,true
,32445,78630.41,11900.91,2018,true
,32446,78630.41,48903.24,2018,true
,32447,75606.16,7887.12,2018,true
,32448,75606.16,,2018,true
,32451,110463.48,13457.28,2018,true
,32452,78630.41,9931.59,2018,true
,32453,78630.41,1866.4,2018,true
,32454,87775.81,23264.56,2018,true
,32455,90033.13,6829.9,2018,true
,32456,78630.41,,2018,true
,32457,78630.41,3202.9,2018,true
,32458,90033.13,39652.48,2018,true
,32459,78630.41,,2018,true
,32460,75606.16,,2018,true
,32461,62835.09,,2018,true
,32463,90033.13,,2018,true
,32464,74923.09,13586.3,2018,true
,32465,97894.58,1682.91,2018,true
,32466,75606.16,163.85,2018,true
,32468,78630.41,12128.34,2018,true
,32473,77118.28,7003.39,2018,true
,32474,77118.28,7714.16,2018,true
,32475,89496.91,20512.29,2018,true
,32477,86054.72,26216.67,2018,true
,32478,77118.28,2581.88,2018,true
,32479,82754.04,5759.72,2018,true
,32480,96020.88,27545.78,2018,true
,32482,78630.41,13854.68,2018,true
,32483,78630.41,1381.09,2018,true
,32486,78630.41,4833.8,2018,true
,32489,89496.91,18831.7,2018,true
,32490,55553.34,,2018,true
,32491,75606.16,10114.73,2018,true
,32492,77118.28,11787.38,2018,true
,32496,78630.41,2330.22,2018,true
,32497,86570.32,1083.73,2018,true
,32498,101810.36,1426.69,2018,true
,32500,75606.16,8956.28,2018,true
,32504,101810.36,4539.61,2018,true
,32505,74923.09,1086.69,2018,true
,32507,77118.28,,2018,true
,32508,78630.41,6408.31,2018,true
,32510,89496.91,12723.79,2018,true
,32512,75606.16,5914.31,2018,true
,32513,75606.16,,2018,true
,32514,78630.41,,2018,true
,32515,77118.28,12723.76,2018,true
,32516,78630.41,3070.59,2018,true
,32517,78630.41,176.31,2018,true
,32518,77118.28,6026.56,2018,true
,32520,78630.41,910.92,2018,true
,32521,88301.73,8002.07,2018,true
,32522,87775.81,21517.32,2018,true
,32523,78630.41,24488.1,2018,true
,32524,55553.34,100.95,2018,true
,32525,89496.91,9230.61,2018,true
,32526,89496.91,37636.97,2018,true
,32527,78630.41,1901.2,2018,true
,32529,78630.41,10916.29,2018,true
,32532,78630.41,4877.54,2018,true
,32533,86570.32,50318.49,2018,true
,32534,86054.72,6270.12,2018,true
,32535,89496.91,4648.85,2018,true
,32536,78630.41,5979.76,2018,true
,32539,114882.02,29879.3,2018,true
,32541,75606.16,5057.63,2018,true
,32542,86570.32,20510.05,2018,true
,32543,75606.16,4581.95,2018,true
,32544,75606.16,6879.51,2018,true
,32545,64091.79,81.44,2018,true
,32546,77118.28,,2018,true
,32549,78630.41,12618.17,2018,true
,32552,75606.16,22236.68,2018,true
,32553,62835.09,,2018,true
,32554,78630.41,1674.89,2018,true
