id,officer id,officer unique identifier,badge number,job title,start date,end date,unit id
394,12335,,17904,POLICE OFFICER,,,
395,12336,,1778,SERGEANT OF POLICE,,,
396,12337,,16495,POLICE OFFICER,,,
397,12338,,14757,POLICE OFFICER,,,
398,12339,,11530,POLICE OFFICER,,,
399,12340,,7250,POLICE OFFICER,,,
400,12341,,6930,POLICE OFFICER,,,
401,12342,,5668,POLICE OFFICER,,,
402,12343,,17543,POLICE OFFICER,,,
403,12344,,12848,POLICE OFFICER,,,
404,12345,,4668,POLICE OFFICER,,,
405,12346,,20609,PO AS DETECTIVE,,,
406,12347,,21264,EXPL TECH 1,,,
407,12348,,3230,POLICE OFFICER,,,
408,12349,,10059,POLICE OFFICER,,,
409,12350,,10829,POLICE OFFICER,,,
410,12351,,13830,POLICE OFFICER,,,
411,12352,,18460,POLICE OFFICER,,,
412,12353,,13759,POLICE OFFICER,,,
413,12354,,18817,POLICE OFFICER,,,
414,12355,,17953,POLICE OFFICER,,,
415,12356,,9377,POLICE OFFICER,,,
416,12357,,1354,SERGEANT OF POLICE,,,
417,12358,,3886,POLICE OFFICER,,,
418,12359,,6197,PO/FIELD TRNING OFF,,,
419,12360,,13112,POLICE OFFICER,,,
420,12361,,17726,PO/FIELD TRNING OFF,,,
421,12362,,213,LIEUTENANT OF POLICE,,,
422,12363,,18310,POLICE OFFICER,,,
423,12364,,19579,POLICE OFFICER,,,
424,12365,,12937,POLICE OFFICER,,,
425,12366,,20842,PO AS DETECTIVE,,,
426,12367,,20746,PO AS DETECTIVE,,,
427,12368,,966,SERGEANT OF POLICE,,,
428,12369,,5480,PO/MOUNTED PAT OFF.,,,
429,12370,,10962,POLICE OFFICER,,,
430,12371,,13302,POLICE OFFICER,,,
431,12372,,2144,SERGEANT OF POLICE,,,
432,12373,,2148,SERGEANT OF POLICE,,,
433,12374,,13648,POLICE OFFICER,,,
434,12375,,6830,POLICE OFFICER,,,
435,12376,,4112,POLICE OFFICER,,,
436,12377,,7041,POLICE OFFICER,,,
437,12378,,7582,POLICE OFFICER,,,
438,12379,,13992,POLICE OFFICER,,,
439,12380,,12652,POLICE OFFICER,,,
440,12381,,,POLICE OFFICER,,,
441,12382,,15751,POLICE OFFICER,,,
442,12383,,2096,SERGEANT OF POLICE,,,
443,12384,,9744,POLICE OFFICER,,,
444,12385,,19980,POLICE OFFICER,,,
445,12386,,16904,POLICE OFFICER,,,
446,12387,,20463,PO AS DETECTIVE,,,
447,12388,,3105,POLICE OFFICER,,,
448,12389,,6132,POLICE OFFICER,,,
449,12390,,20365,PO AS DETECTIVE,,,
450,12391,,11286,POLICE OFFICER,,,
451,12392,,19255,POLICE OFFICER,,,
452,12393,,11453,POLICE OFFICER,,,
453,12394,,14873,POLICE OFFICER,,,
454,12395,,12481,POLICE OFFICER,,,
455,12396,,5214,POLICE OFFICER,,,
456,12397,,4918,POLICE OFFICER,,,
