id,officer_id,badge_number,job_title,start_date,resign_date
,#U100539,,POLICE OFFICER,,
,#U100540,,POLICE OFFICER,,
,#U100541,12828,POLICE OFFICER,1992-03-16,2013-06-27
,#U100542,,POLICE OFFICER,,
,#U100543,,POLICE OFFICER,,
,#U100544,3924,POLICE OFFICER,1998-07-16,2012-06-13
,#U100545,,POLICE OFFICER,,
,#U100546,,POLICE OFFICER,,
,#U100547,,POLICE OFFICER,,
,#U100548,17410,POLICE OFFICER,1999-03-02,2001-02-01
,#U100549,,SERGEANT,,
,#U100550,,POLICE OFFICER,,
,#U100551,13563,POLICE OFFICER,1968-01-22,2001-05-16
,#U100553,,SERGEANT,,
,#U100554,,SERGEANT,,
,#U100556,21081,DETECTIVE,1996-12-13,2000-01-04
,#U100557,20581,DETECTIVE,1991-11-10,2003-05-29
,#U100558,,POLICE OFFICER,,
,#U100559,,POLICE OFFICER,,
,#U100561,,POLICE OFFICER,,
,#U100563,,POLICE OFFICER,,
,#U100564,,POLICE OFFICER,,
,#U100565,6420,POLICE OFFICER,1978-02-27,2008-01-15
,#U100566,2754,POLICE OFFICER,1980-09-29,2011-05-09
,#U100567,15587,POLICE OFFICER,1971-02-22,2008-11-14
,#U100568,,POLICE OFFICER,,
,#U100569,,DETECTIVE,,
,#U100571,,SERGEANT,,
,#U100572,,POLICE OFFICER,,
,#U100573,,POLICE OFFICER,,
,#U100574,,POLICE OFFICER,,
,#U100575,20367,DETECTIVE,1995-02-17,2005-02-23
,#U100581,13288,POLICE OFFICER,1996-11-21,2015-05-15
,#U100591,,POLICE OFFICER,,
,#U100593,16035,POLICE OFFICER,1975-05-16,2004-03-16
,#U100595,9199,POLICE OFFICER,1994-12-23,2012-03-27
,#U100597,11138,POLICE OFFICER,1990-07-30,2012-10-05
,#U100599,9258,POLICE OFFICER,1999-12-01,2009-07-16
,#U100600,7926,POLICE OFFICER,1986-01-16,2012-10-17
,#U100602,40373,POLICE OFFICER,1997-08-05,2005-06-08
,#U100602,20165,DETECTIVE,2005-06-08,2012-11-15
,#U100603,9893,POLICE OFFICER,1999-09-14,2014-10-15
,#U100604,13974,POLICE OFFICER,2005-04-20,2006-04-12
,#U100606,7999,POLICE OFFICER,2002-06-04,2011-04-07
,#U100612,4926,POLICE OFFICER,2002-10-25,2008-05-12
,#U100618,,POLICE OFFICER,,
,#U100619,20986,DETECTIVE,1991-11-10,2002-05-09
,#U100620,,POLICE OFFICER,,
,#U100621,,POLICE OFFICER,,
,#U100622,,POLICE OFFICER,,
,#U100623,,POLICE OFFICER,,
,#U100625,13914,POLICE OFFICER,1982-03-01,2011-03-15
,#U100626,,POLICE OFFICER,,
,#U100627,8495,POLICE OFFICER,1960-09-05,2000-11-29
,#U100629,8228,POLICE OFFICER,1990-11-16,2008-07-15
,#U100630,1303,SERGEANT,1984-05-01,2000-03-07
,#U100631,,POLICE OFFICER,,
,#U100632,,DEPUTY CHIEF,,
,#U100633,9479,POLICE OFFICER,1991-01-04,2003-04-15
,#U100634,,DETECTIVE,,
,#U100635,,DETECTIVE,,
,#U100636,20377,DETECTIVE,1996-12-13,2005-05-04
,#U100636,20377,DETECTIVE,2005-09-20,2006-12-11
,#U100636,20355,DETECTIVE,2005-05-04,2005-09-20
,#U100636,20103,DETECTIVE,2006-12-12,2015-04-20
,#U100637,,SERGEANT,,
,#U100638,1066,SERGEANT,1998-08-06,2013-08-09
,#U100639,1029,SERGEANT,1998-08-06,2004-10-29
,#U100639,1029,SERGEANT,2004-11-08,2013-12-11
,#U100639,2263,SERGEANT,2004-10-29,2004-11-08
,#U100640,,POLICE OFFICER,,
,#U100641,,POLICE OFFICER,,
,#U100643,12059,POLICE OFFICER,1992-10-16,2014-05-15
,#U100644,,POLICE OFFICER,,
,#U100646,,POLICE OFFICER,,
,#U100647,6530,POLICE OFFICER,1994-11-04,2013-11-07
,#U100649,21096,DETECTIVE,1992-12-13,2004-05-10
,#U100649,20468,DETECTIVE,2004-05-10,2004-05-12
,#U100649,20326,DETECTIVE,2004-05-12,2014-09-29
,#U100650,,POLICE OFFICER,,
,#U100652,,POLICE OFFICER,,
,#U100653,14169,POLICE OFFICER,1969-08-11,2000-08-14
,#U100654,,POLICE OFFICER,,
,#U100655,14820,POLICE OFFICER,1970-06-15,2010-10-25
,#U100657,10135,POLICE OFFICER,1995-11-17,2007-02-06
,#U100658,,SERGEANT,,
,#U100659,13255,POLICE OFFICER,1967-11-13,2001-07-12
,#U100662,,POLICE OFFICER,,
,#U100664,1182,SERGEANT,1986-12-23,2008-10-15
,#U100665,,POLICE OFFICER,,
,#U100666,,SERGEANT,,
,#U100667,8040,POLICE OFFICER,1978-02-27,2000-03-15
,#U100669,20259,DETECTIVE,1991-11-10,2011-11-04
,#U100670,,POLICE OFFICER,,
,#U100671,,POLICE OFFICER,,
,#U100672,,POLICE OFFICER,,
,#U100682,17019,POLICE OFFICER,1991-10-11,2013-07-12
,#U100685,12425,POLICE OFFICER,1986-06-16,2009-06-18
,#U100686,,POLICE OFFICER,,
,#U100689,,POLICE OFFICER,,
,#U100690,19997,POLICE OFFICER,1998-04-08,2003-01-13
,#U100692,,POLICE OFFICER,,
,#U100693,20819,DETECTIVE,1996-12-13,2014-05-15
,#U100694,,POLICE OFFICER,,
,#U100695,,DETECTIVE,,
,#U100696,,POLICE OFFICER,,
,#U100698,,POLICE OFFICER,,
,#U100699,,POLICE OFFICER,,
,#U100700,,POLICE OFFICER,,
,#U100701,,POLICE OFFICER,,
,#U100703,5058,POLICE OFFICER,1965-03-15,2000-02-15
,#U100704,18411,POLICE OFFICER,1995-06-12,2015-01-15
,#U100705,,POLICE OFFICER,,
,#U100706,,POLICE OFFICER,,
,#U100707,7449,POLICE OFFICER,1986-10-21,2002-02-14
,#U100707,20205,DETECTIVE,2002-02-14,2007-09-14
,#U100707,20205,DETECTIVE,2008-03-24,2013-02-19
,#U100708,,SERGEANT,,
,#U100709,,LIEUTENANT,,
,#U100711,,POLICE OFFICER,,
,#U100712,,POLICE OFFICER,,
,#U100714,16411,POLICE OFFICER,1985-01-24,2003-07-08
,#U100716,,POLICE OFFICER,,
,#U100718,,POLICE OFFICER,,
,#U100719,,POLICE OFFICER,,
,#U100720,,POLICE OFFICER,,
,#U100723,,POLICE OFFICER,,
,#U100726,,POLICE OFFICER,,
,#U100727,8319,POLICE OFFICER,1996-05-09,2003-03-11
,#U100727,19141,POLICE OFFICER,2003-03-11,2004-02-13
,#U100727,,FIELD TRAINING OFFICER,,
,#U100728,,POLICE OFFICER,,
,#U100729,21174,DETECTIVE,1996-12-13,2004-01-15
,#U100731,,POLICE OFFICER,,
,#U100733,,POLICE OFFICER,,
,#U100734,,SERGEANT,,
,#U100736,17349,POLICE OFFICER,1985-03-04,2013-08-08
,#U100736,17347,POLICE OFFICER,2013-08-08,2014-03-16
,#U100738,2041,SERGEANT,1988-12-01,2004-01-15
,#U100740,,POLICE OFFICER,,
,#U100742,,LIEUTENANT,,
,#U100744,8309,POLICE OFFICER,1992-11-27,2012-08-15
,#U100745,,SERGEANT,,
,#U100747,7430,POLICE OFFICER,1993-01-14,2012-12-18
,#U100748,16089,POLICE OFFICER,1975-05-16,2001-06-15
,#U100755,,POLICE OFFICER,,
,#U100756,16397,POLICE OFFICER,1976-03-08,2003-05-16
,#U100757,9400,POLICE OFFICER,1995-07-18,2004-11-01
,#U100757,20480,DETECTIVE,2004-11-01,2011-05-04
,#U100770,15809,POLICE OFFICER,1970-09-14,2002-10-09
,#U100776,,POLICE OFFICER,,
,#U100780,15530,POLICE OFFICER,2004-04-02,2011-07-13
,#U100782,,POLICE OFFICER,,
,#U100787,,POLICE OFFICER,,
,#U100788,12594,POLICE OFFICER,1966-06-13,2001-01-16
,#U100790,2820,POLICE OFFICER,1980-09-29,2005-02-18
,#U100792,,POLICE OFFICER,,
,#U100799,1005,SERGEANT,1997-02-20,2011-12-15
,#U100800,17925,POLICE OFFICER,2002-04-04,2004-09-01
,#U100802,14526,POLICE OFFICER,2006-02-22,2012-06-08
,#U100811,6254,POLICE OFFICER,1991-09-12,2012-03-26
,#U100811,3250,POLICE OFFICER,2012-03-26,2015-06-01
,#U100825,,POLICE OFFICER,,
,#U100829,17024,POLICE OFFICER,1993-02-04,2015-09-15
,#U100830,10959,POLICE OFFICER,1986-11-24,2000-05-10
,#U100832,8148,POLICE OFFICER,1980-01-28,2005-11-03
,#U100832,8148,POLICE OFFICER,2005-11-14,2006-04-14
,#U100836,,POLICE OFFICER,,
,#U100837,9262,POLICE OFFICER,1986-11-17,2009-12-21
,#U100839,19976,POLICE OFFICER,,
,#U100841,17919,POLICE OFFICER,1987-01-18,2014-01-16
,#U100846,17714,POLICE OFFICER,1985-11-18,2014-12-02
,#U100847,11332,POLICE OFFICER,1994-03-04,2002-06-24
,#U100848,11727,POLICE OFFICER,1986-08-11,2001-12-29
,#U100848,11727,POLICE OFFICER,2002-05-07,2003-05-20
,#U100848,16444,POLICE OFFICER,2001-12-29,2002-05-07
,#U100849,,POLICE OFFICER,,
,#U100850,,POLICE OFFICER,,
,#U100852,,POLICE OFFICER,,
,#U100853,17369,POLICE OFFICER,1985-03-04,2000-10-11
,#U100853,17367,POLICE OFFICER,2000-10-11,2004-11-01
,#U100853,21045,DETECTIVE,2004-11-01,2013-11-16
,#U100855,17574,POLICE OFFICER,1995-10-21,2012-11-15
,#U100861,,POLICE OFFICER,,
,#U100862,,POLICE OFFICER,,
,#U100863,15468,POLICE OFFICER,1992-11-28,2009-05-15
,#U100866,,POLICE OFFICER,,
,#U100873,,POLICE OFFICER,,
,#U100874,,POLICE OFFICER,,
,#U100875,,POLICE OFFICER,,
,#U100876,,POLICE OFFICER,,
,#U100878,,POLICE OFFICER,,
,#U100881,457,LIEUTENANT,1990-07-26,2001-03-27
,#U100889,20278,DETECTIVE,1992-02-18,2000-05-15
,#U100890,,POLICE OFFICER,,
,#U100893,,LIEUTENANT,,
,#U100894,7932,POLICE OFFICER,1982-08-30,2003-01-15
,#U100896,8945,POLICE OFFICER,1994-12-23,2000-12-07
,#U100896,8945,POLICE OFFICER,2000-12-11,2005-03-18
,#U100898,,POLICE OFFICER,,
,#U100899,,POLICE OFFICER,,
,#U100900,,POLICE OFFICER,,
,#U100901,,POLICE OFFICER,,
,#U100903,,POLICE OFFICER,,
,#U100904,,SERGEANT,,
,#U100905,,POLICE OFFICER,,
,#U100906,,POLICE OFFICER,,
,#U100907,,POLICE OFFICER,,
,#U100910,,POLICE OFFICER,,
,#U100913,,DETECTIVE,,
,#U100914,9863,POLICE OFFICER,1982-08-30,2011-09-15
,#U100915,15155,POLICE OFFICER,1998-10-26,2001-02-20
,#U100917,,POLICE OFFICER,,
,#U100918,,POLICE OFFICER,,
,#U100927,,POLICE OFFICER,,
,#U100929,,POLICE OFFICER,,
,#U100931,,ASSISTANT DEPUTY SUPERINTENDENT,,
,#U100934,,POLICE OFFICER,,
,#U100935,,LIEUTENANT,,
,#U100936,,POLICE OFFICER,,
,#U100939,11160,POLICE OFFICER,1997-10-14,2001-01-30
,#U100939,11709,POLICE OFFICER,2001-01-30,2004-07-02
,#U100940,,POLICE OFFICER,,
,#U100941,20003,DETECTIVE,1995-07-27,2005-11-15
,#U100944,,POLICE OFFICER,,
,#U100949,,POLICE OFFICER,,
,#U100951,,POLICE OFFICER,,
,#U100953,,DETECTIVE,,
,#U100958,,POLICE OFFICER,,
,#U100962,7715,POLICE OFFICER,2002-02-08,2010-01-19
,#U100963,7168,POLICE OFFICER,1991-03-05,2000-01-12
,#U100964,4605,POLICE OFFICER,1998-09-29,2015-03-31
,#U100965,,COMMANDER,,
,#U100970,,SERGEANT,,
,#U100973,,SERGEANT,,
,#U100977,,POLICE OFFICER,,
,#U100978,10629,POLICE OFFICER,1991-06-08,2005-06-20
,#U100979,14605,POLICE OFFICER,2003-04-03,2011-06-21
,#U100982,,POLICE OFFICER,,
,#U100997,,POLICE OFFICER,,
,#U101000,,SERGEANT,,
,#U101001,12962,POLICE OFFICER,1998-04-28,2001-08-27
,#U101002,,POLICE OFFICER,,
,#U101004,20838,DETECTIVE,1991-11-01,2008-01-31
,#U101005,,POLICE OFFICER,,
,#U101009,,POLICE OFFICER,,
,#U101010,,SERGEANT,,
,#U101012,11467,POLICE OFFICER,1973-10-22,2005-02-15
,#U101013,7846,POLICE OFFICER,1987-01-02,2004-02-05
,#U101017,,POLICE OFFICER,,
,#U101018,,POLICE OFFICER,,
,#U101019,51,CAPTAIN,1989-12-14,2001-11-29
,#U101019,,ASSISTANT DEPUTY SUPERINTENDENT,,
,#U101021,6577,POLICE OFFICER,2002-02-08,2008-10-20
,#U101021,6577,FIELD TRAINING OFFICER,,
