id,officer_id,badge_number,job_title,start_date,resign_date
,20489,16172,POLICE OFFICER,2015-03-13,2015-06-05
8552,20489,6170,POLICE OFFICER,2015-06-05,
8808,20745,11186,POLICE OFFICER,2012-12-10,
8875,20812,9483,POLICE OFFICER,1990-07-30,2014-06-16
,21307,13584,POLICE OFFICER,2004-06-18,2005-02-17
9370,21307,10904,POLICE OFFICER,2005-02-17,
11709,23642,14709,POLICE OFFICER,2003-04-03,2016-06-01
,23642,2605,SERGEANT,2016-06-01,
11920,23853,15841,POLICE OFFICER,2001-11-08,
1367,13306,18664,POLICE OFFICER,1995-12-18,
1661,13600,16118,POLICE OFFICER,2002-01-03,
1776,13715,14867,POLICE OFFICER,2015-04-24,
,14942,10132,POLICE OFFICER,2003-11-18,2014-02-07
3005,14942,16329,POLICE OFFICER,2014-02-07,
3452,15389,10805,POLICE OFFICER,2012-03-29,
3518,15455,15810,POLICE OFFICER,,
3627,15564,17451,POLICE OFFICER,2015-03-13,
3777,15715,9559,POLICE OFFICER,2002-09-19,
4660,16597,4917,POLICE OFFICER,2007-12-11,2018-11-05
,16597,21215,DETECTIVE,2018-11-05,
5508,17445,16109,POLICE OFFICER,2004-09-24,2017-02-24
,17445,20153,DETECTIVE,2017-02-24,
,#U100478,18469,POLICE OFFICER,2017-07-12,2018-06-22
,#U100478,18465,POLICE OFFICER,2018-06-22,
5750,17687,15054,POLICE OFFICER,2013-07-31,
5911,17848,13933,POLICE OFFICER,2013-02-14,
7018,18955,7200,POLICE OFFICER,2011-02-24,
,#U100485,8122,POLICE OFFICER,2013-08-26,2016-07-29
,#U100487,13992,POLICE OFFICER,2017-06-06,
8173,20110,10295,POLICE OFFICER,2007-04-11,
8298,20235,11563,POLICE OFFICER,2015-12-23,
9254,21191,2852,POLICE OFFICER,2013-08-26,
,22293,9711,POLICE OFFICER,1990-11-16,2005-12-27
,22293,10195,POLICE OFFICER,2005-12-27,2006-03-15
10358,22293,1075,SERGEANT,2006-03-15,
11103,23036,17667,POLICE OFFICER,2008-09-29,
,23036,17667,FIELD TRAINING OFFICER,,
11154,23087,8770,POLICE OFFICER,1998-08-28,
1054,12993,17272,POLICE OFFICER,,
3931,15870,9651,POLICE OFFICER,2006-09-25,
,#U100504,8477,POLICE OFFICER,2017-02-22,
2158,14095,17625,POLICE OFFICER,2013-08-28,2019-07-05
,22125,19487,POLICE OFFICER,1996-12-23,2007-01-16
10190,22125,2595,SERGEANT,2007-01-16,2016-10-14
10191,22126,16830,POLICE OFFICER,2006-01-24,
11126,23059,13521,POLICE OFFICER,2008-01-10,
11890,23823,8966,POLICE OFFICER,2008-12-08,2010-07-19
,23823,8966,POLICE OFFICER,2013-05-17,2013-06-12
,23823,8966,POLICE OFFICER,2013-08-23,
3079,15017,19795,POLICE OFFICER,1997-01-21,2017-09-15
,18065,19289,POLICE OFFICER,1998-08-28,2000-07-05
6128,18065,6585,POLICE OFFICER,2000-07-05,
8207,20144,9206,POLICE OFFICER,2005-06-10,2019-06-21
