officer_id,salary,year,is_fiscal_year,id
#634,94280.0,2020,T,
#635,93724.0,2020,T,
#636,85212.0,2020,T,
#637,86360.0,2020,T,
#639,92710.0,2020,T,
#640,89676.0,2020,T,
#641,93354.0,2020,T,
#642,117974.0,2020,T,
#643,102017.0,2020,T,
#644,65341.0,2020,T,
#645,150813.0,2020,T,
#647,137826.0,2020,T,
#648,130288.0,2020,T,
#649,90845.0,2020,T,
#650,70479.0,2020,T,
#651,79130.0,2020,T,
#653,95988.0,2020,T,
#655,104667.0,2020,T,
#656,75256.0,2020,T,
#657,90543.0,2020,T,
#659,101183.0,2020,T,
#661,89685.0,2020,T,
#662,69398.0,2020,T,
#663,111005.0,2020,T,
#665,134334.0,2020,T,
#667,179677.0,2020,T,
#668,73101.0,2020,T,
#670,141118.0,2020,T,
#672,102049.0,2020,T,
#673,74308.0,2020,T,
#675,107104.0,2020,T,
#681,82531.0,2020,T,
#682,118625.0,2020,T,
#685,90932.0,2020,T,
#690,84597.0,2020,T,
#691,70303.0,2020,T,
#692,162274.0,2020,T,
#693,110654.0,2020,T,
#695,108446.0,2020,T,
#696,96668.0,2020,T,
#697,71701.0,2020,T,
#698,107844.0,2020,T,
#700,101035.0,2020,T,
#702,119901.0,2020,T,
#703,101133.0,2020,T,
#707,95349.0,2020,T,
#708,138872.0,2020,T,
#709,96463.0,2020,T,
#711,112170.0,2020,T,
#712,89606.0,2020,T,
#713,86167.0,2020,T,
#715,108764.0,2020,T,
#716,99642.0,2020,T,
#717,102857.0,2020,T,
#720,100443.0,2020,T,
#721,165663.0,2020,T,
#723,66346.0,2020,T,
#724,91076.0,2020,T,
#725,99984.0,2020,T,
#726,105101.0,2020,T,
#727,105130.0,2020,T,
#729,88464.0,2020,T,
#730,115785.0,2020,T,
#731,109396.0,2020,T,
#732,76378.0,2020,T,
#735,116247.0,2020,T,
#737,70164.0,2020,T,
#738,110363.0,2020,T,
#740,99263.0,2020,T,
#742,96258.0,2020,T,
#744,111472.0,2020,T,
#745,95407.0,2020,T,
#748,93291.0,2020,T,
#749,106080.0,2020,T,
#751,186226.0,2020,T,
#752,95274.0,2020,T,
#754,108233.0,2020,T,
#757,138438.0,2020,T,
#759,105778.0,2020,T,
#762,91407.0,2020,T,
#763,90554.0,2020,T,
#764,83735.0,2020,T,
#765,65283.0,2020,T,
#766,94399.0,2020,T,
#769,111666.0,2020,T,
#770,75973.0,2020,T,
#771,150318.0,2020,T,
#772,121511.0,2020,T,
#773,80995.0,2020,T,
#774,94371.0,2020,T,
#775,105657.0,2020,T,
#776,113082.0,2020,T,
#777,115952.0,2020,T,
